"[32767, 32767, 32767, 8171, 16319, 15582, 6331, 5572, 5982, 4009, 2579, 3275, 4141, 3497, 3048, 3939, 5213, 5708, 5832, 7475, 8830, 10828, 11421, 11317, 14439, 16105, 13645, 13812, 14258, 13973, 13435, 12293, 12831, 11284, 9682, 10606, 10458, 10177, 9561, 9189]","[3730, -6851, 349, -1756, -6593, -2291, 888, 4378, 2682, 2857, 10840, 9022, 1859, -1331, 1122, 3064, 2806, 1771, 1704, -291, -985, -747, -1838, -2119, -1297, -1672, -2173, -601, 89, -323, -1712, -1841, -1819, -609, -250, -2573, -3472, -1420, 38, -954]","[-2998, -3332, 5591, -12161, 2912, 2424, 9309, 483, -2410, -1426, -5574, -2964, 707, 1138, 1334, 1957, 817, 575, 1098, -22, 943, 745, 566, 598, 72, -26, -580, -613, -683, -705, -919, -1798, -2861, -2547, -3402, -3867, -4138, -3691, -3467, -3553]","[5161, 4239, 20589, -13822, -12503, -7676, 8701, 19308, 18301, 13855, 6603, -11945, -11229, -7993, -566, -89, -2586, -4622, -6894, -8656, -8531, -8511, -9268, -7107, -5281, -5477, -2506, -2665, -4790, -6217, -6624, -4681, -3715, -7398, -11180, -11010, -9202, -9277, -9841, -10973]","[11951, 14008, 10041, 592, -1272, 439, 1032, -1630, 1485, 4431, 2217, 911, -1808, -3298, -3453, -4028, -5108, -5283, -5446, -4888, -4763, -4427, -4042, -3463, -2568, -1832, -1132, -1685, -1528, -1809, -2114, -3281, -4107, -4374, -4278, -3567, -2858, -2204, -1724, -1814]","[32767, 32767, 32767, 20058, 1507, 2915, 3221, 3479, 5247, 6227, 7133, 7533, 4572, 63, -2200, -3635, -4897, -6432, -7569, -8379, -9706, -11289, -12851, -13244, -14129, -15238, -15883, -15396, -15177, -14068, -12585, -10569, -8005, -5277, -2013, 488, 2115, 3221, 4667, 5455]"
"[32767, 32767, 32767, 24569, 5846, 12939, 12212, 5018, 4135, 4596, 4290, 2780, 3736, 4122, 4774, 5747, 7149, 6499, 7360, 9305, 10366, 10948, 11946, 12594, 12427, 12508, 12705, 12856, 12581, 12821, 12631, 11274, 10838, 10105, 10559, 9670, 8050, 13764, 20662, 7981]","[-6292, 12831, 4948, 4625, 3373, -14649, -1391, 346, 6040, 3118, 3117, 7401, 5945, 3203, 294, -740, -331, -477, 1804, 1470, -68, -1155, -1605, -1275, -894, -770, -909, -1252, -483, -148, -1292, -842, -480, -665, -645, -792, -4679, -11759, -9385, -1957]","[-3650, -8373, -6806, -880, -14462, 3745, 745, 8724, -634, -3581, -537, -3531, -1599, 223, 1569, 2311, 690, 1220, 130, 548, 59, -99, 76, 362, 232, -213, -703, -823, -1779, -2821, -3165, -2883, -3412, -3480, -2887, -4510, -4257, -1800, -4522, -3576]","[32767, 29543, 1870, 2858, -15442, -12731, -2155, 8430, 18006, 12314, 9602, 2725, -6874, -11116, -10804, -4637, -2935, -1466, -2462, -7253, -9050, -9846, -9020, -7669, -6012, -4604, -3811, -3203, -958, -1734, -4614, -6053, -6900, -7624, -6586, -9733, -15210, -12398, 2217, 3056]","[-5275, 10563, 20567, 15783, 814, -2605, 375, 1228, -1726, 178, 2353, -379, -1850, -2749, -3259, -4244, -4635, -4879, -5673, -5380, -5221, -4301, -3009, -2408, -2456, -2746, -2932, -2181, -2949, -3192, -2433, -2072, -1520, -1515, -1584, -2372, -3307, -1721, 2, -650]","[32767, 32767, 32767, 32767, 20725, 1915, 4080, 4470, 4797, 6042, 5180, 4115, 3125, 1423, -1775, -5587, -9655, -12232, -12679, -13914, -15076, -15942, -16241, -16192, -15897, -15094, -13585, -11962, -9863, -7550, -5501, -3192, -1278, 626, 2453, 3909, 7747, 10396, 5442, 3933]"
"[32767, 32767, 24040, 8971, 13786, 12229, 4769, 4783, 5130, 3206, 1115, 2001, 2742, 4556, 4721, 4661, 6364, 8341, 9272, 10650, 12363, 13368, 14380, 15026, 15558, 14999, 13700, 12708, 13871, 13631, 11193, 10216, 10710, 10828, 9017, 6373, 13477, 15279, 10198, 10735]","[1704, -3344, -1743, -3529, -6440, 65, 2414, 5798, 5747, 5024, 4264, 6011, 7621, 4106, -448, -77, 1741, 888, -665, -1334, -1023, -867, -1602, -1306, -1263, -2025, -1920, 411, 183, -1199, -889, -495, -1971, -1193, -171, -4923, -7581, -4644, -117, -1580]","[-3590, -1958, -2900, -2389, -1350, -459, 2959, -378, -3130, -2542, -1834, -4218, -2531, -1684, -411, 1758, 1091, 962, 667, -831, 362, -662, -427, -325, -471, -746, -820, -2300, -3807, -2707, -1948, -3708, -4124, -3587, -3132, -6171, -5190, -3099, -2135, -636]","[12974, 11370, 11196, -6896, 1819, -1538, 1808, 3283, 9038, 10214, 7639, 4539, -5414, -13891, -12084, -5547, -3916, -5927, -7716, -6672, -5989, -5650, -7128, -6194, -6549, -4827, -2745, 44, -1703, -6114, -7338, -5604, -5353, -7265, -11056, -18432, -11529, 142, -976, -1762]","[9467, 12892, 7355, 5844, 1400, 3431, 3020, 162, 59, 369, -49, -1461, -2525, -4107, -4617, -5635, -5183, -5142, -5068, -4585, -4007, -4212, -3147, -2592, -1494, -1562, -1909, -3131, -3028, -2060, -1833, -2563, -2111, -1156, -1932, -3333, -2974, -781, 235, -166]","[32767, 32767, 32767, 14991, 2182, 5415, 8676, 7499, 4200, 1845, 377, 1444, 1578, -1577, -5923, -8503, -9094, -10510, -12416, -14073, -15293, -16296, -16861, -17006, -16991, -16562, -15498, -13251, -10632, -8114, -6170, -3772, -1369, 1133, 4081, 8470, 9472, 5079, 5465, 4154]"
"[32767, 32767, 32767, 11881, 10279, 19614, 12603, 6661, 5768, 1828, 46, 286, 3660, 4406, 4034, 4504, 6586, 7576, 7727, 8897, 9670, 9560, 10372, 11867, 12266, 12087, 12463, 13682, 13676, 13408, 12460, 11923, 11984, 11475, 9566, 8743, 9635, 10151, 8811, 5789]","[4001, -13105, -4932, 3899, -12332, 2174, 2997, -1021, -619, 4494, 5171, 5441, 3628, 2871, 969, -1618, -2541, -1478, 88, -456, -972, -1289, -99, -364, -1831, -1446, -120, 468, -436, -1970, -1470, 141, -1289, -3106, -2381, -614, -766, -1284, 1164, -3179]","[-3099, -4558, -11163, 2552, 3436, -3425, 1508, 4976, 3673, 1237, 610, -1938, -310, 567, 1741, 2424, 3538, 1808, 679, -67, -139, -825, -792, -1725, -1394, -1158, -2663, -3760, -4998, -4207, -4563, -5196, -5972, -5326, -4059, -4911, -4795, -4336, -3951, -5700]","[4601, 190, 2563, -6042, 1753, -1569, -5735, -4991, 9506, 23881, 17818, 11859, -1581, -8233, -10949, -5260, 2287, 7970, 4449, -463, -4764, -4339, -5732, -7512, -8102, -6601, -4750, -4213, -5190, -7686, -7381, -7752, -7486, -7648, -6824, -6000, -8056, -8275, -12788, -17609]","[-9572, -5707, -4083, -33, -13202, -8057, -6149, -4373, -3616, -4377, -3908, -4363, -1328, 99, 1078, 1094, -688, -1692, -1411, -248, 578, 431, -514, -51, 726, 473, -64, 10, 589, 1154, 601, 29, -99, -382, -1323, -2250, -2257, -1469, -1070, -2797]","[32767, 32767, 32767, 20698, 426, -1596, -1368, -1760, -3491, -2859, -2660, -683, 123, -579, -1910, -3416, -5373, -7760, -9031, -9902, -10611, -11191, -11665, -12140, -11840, -11733, -11310, -10868, -10396, -9466, -8456, -7074, -5779, -4836, -3884, -2155, -606, 763, 2355, 5440]"
"[32767, 32767, 32767, 23392, 2817, 21018, 13070, 6298, 9326, 5947, 1609, 1156, 1523, 2762, 4273, 5452, 6433, 6395, 7357, 9156, 9249, 10630, 12439, 13884, 14311, 15027, 14314, 14238, 13622, 12684, 11466, 11366, 12727, 11021, 9658, 12194, 18663, 16132, 6933, 8158]","[-1005, -2519, -12266, 5483, -8299, -5952, 2493, 2036, 3413, 4070, 5904, 7005, 9173, 6882, 2416, -953, -1404, 459, 1464, 334, -549, 505, 1342, 524, -683, -665, 328, 484, -467, -115, 629, 895, 627, -4076, -3035, -15703, -1820, 933, -1545, -4662]","[-1233, -4669, -10714, -734, -134, -7609, 718, 4556, 1133, -503, -1589, -1191, -864, -279, 860, 2650, 2660, 2280, 1360, 640, 591, -811, -1089, -1482, -1888, -1313, -1537, -3097, -3758, -4013, -3694, -5157, -5088, -6692, -6576, -7298, -1808, 2769, -7470, -1847]","[17941, 12085, 1833, 1346, -8346, -38, -1663, -1690, 8017, 16885, 21501, 11983, 2627, -8516, -13111, -9937, -3468, 289, -546, -3412, -3471, -4099, -7143, -10150, -11122, -10279, -8688, -6212, -3850, -1792, -1961, -3219, -5640, -8816, -18686, -18906, 4482, -3945, -1736, -7217]","[-13320, -4894, -18, 8203, -9670, -7173, -3535, -2922, -5066, -2267, -2928, 145, -762, -1809, -2007, -2441, -2529, -2464, -2663, -1882, -1662, -2482, -2345, -1501, -576, 68, 57, -535, -337, -650, -1238, -2186, -1008, -1667, -2715, -3938, -5551, 992, -822, -455]","[32767, 32767, 32767, 32767, 7364, -1028, 4224, 4310, 3225, 2090, 2390, 3401, 4067, 3616, 1193, -2353, -6398, -9223, -11178, -12622, -14055, -15259, -16162, -16950, -17187, -17215, -17283, -16494, -15040, -12304, -9762, -6466, -2946, 918, 6804, 12340, 7107, 7822, 6375, 5183]"
"[32767, 32274, 23589, 16978, 15983, 14148, 10730, 9562, 7847, 5870, 4349, 3299, 2567, 4009, 5344, 6903, 8807, 11143, 12597, 13924, 13669, 12806, 12183, 12120, 10703, 8890, 8812, 11217, 14999, 29682, 21429, 6657, 8175, 7204, 8441, 9306, 9429, 9404, 8870, 8912]","[-8813, -2830, 141, 2485, -2964, -610, 3362, 3200, 3443, 4937, 5871, 6176, 8757, 7379, 3888, 1204, -81, 53, 1465, 2084, 1110, 1142, 2187, 1931, 87, -1056, 2379, 10847, -18954, -13611, -5477, -2458, -2478, -4615, -3558, -887, -1461, -116, 1024, 811]","[-876, -3275, -4103, -948, 765, 611, 2075, 2583, 2358, 1617, -269, -8, -352, -370, 793, 829, 1195, 573, 902, -80, 88, 33, -730, -1253, -2579, -2049, -639, -4421, -11435, -10455, 5159, 1346, -1938, -4588, -2252, -1015, -1526, -2117, -2350, -2586]","[5034, 14628, 8827, -2915, -1158, -1143, 2364, -148, 4302, 11835, 11400, 10007, 3819, -5020, -9522, -8138, -5105, -2935, -4023, -6380, -7564, -6821, -5586, -4376, -812, 2083, 4563, -9106, -31959, 19326, 978, 1268, 0, -1566, 26, -1237, -751, 1020, 414, -271]","[-10685, -5233, -2999, -2427, -5542, -4632, -3843, -3080, -2548, -2718, -2792, -2307, -2405, -2250, -1830, -1306, -1523, -1266, -979, -492, 137, 161, -507, -864, -1084, -35, -1678, -1735, -3224, -11382, -2816, -964, -1187, -1483, -1080, -1082, -1175, -1123, -937, -743]","[32767, 31739, 24791, 17640, 10828, 10145, 8438, 6466, 3273, -264, -2848, -4179, -4429, -5159, -6753, -8981, -11761, -14784, -18164, -20514, -21805, -22035, -21516, -20071, -17490, -13624, -7303, -460, 15429, 7715, 11293, 5784, 5713, 3276, 1573, 379, -137, -234, -139, 38]"
"[32767, 32767, 25581, 18232, 19527, 16319, 12799, 10844, 9675, 6225, 3197, 2261, 1246, 1195, 2535, 3615, 5437, 7860, 9803, 10272, 11481, 13244, 15057, 15128, 15192, 15347, 14374, 14201, 14474, 13156, 10842, 9471, 10354, 9699, 8948, 10050, 14893, 15237, 7759, 8737]","[-11021, -3829, -1827, 3992, -3730, -2943, 4073, 3645, 5423, 5799, 6042, 5391, 8875, 9629, 5566, 3814, 2484, 791, -634, -760, -656, -1634, -1946, -3081, -3168, -1754, -1234, -249, -1798, -2842, -2471, -1100, 264, -2489, -4825, -9209, -581, 350, -2300, -164]","[-3175, -1726, -4620, -2381, -987, 150, 555, 1921, 88, -302, -2409, -982, -2495, -2153, -879, 71, 139, 36, 9, 280, -425, 270, -300, -1000, -592, -813, -711, -1304, -2319, -2048, -2268, -2728, -3004, -4451, -5040, -2121, -5901, -3138, -3238, -251]","[651, 17638, 16126, -272, -6527, -7848, 1432, -1595, 5844, 11693, 14294, 11875, 9092, -1273, -9217, -9184, -7419, -5912, -5961, -5135, -4946, -5848, -4927, -3306, -2375, -1822, -2418, -2803, -4942, -5764, -6108, -6451, -8127, -9928, -17479, -10930, 4513, -2418, -5074, -5079]","[-3236, -6203, 1308, 1999, 165, -2464, -1114, -2113, -2208, -2057, -2232, -1580, -1627, -2300, -3177, -3774, -4661, -4889, -3732, -3026, -2645, -2128, -2491, -1552, -1362, -1681, -1820, -2685, -2655, -2890, -2667, -2742, -2332, -2259, -2310, -3125, -2804, 807, 301, 854]","[32767, 32767, 27261, 19793, 13122, 12854, 11460, 8228, 4739, 1651, -432, -1968, -1761, -1145, -2244, -4076, -6048, -7815, -9433, -11278, -12609, -14534, -16563, -17667, -17916, -18098, -17171, -14366, -11945, -9227, -5992, -2702, 586, 3375, 6821, 9441, 5962, 6029, 5100, 5016]"
"[32767, 32767, 32767, 23912, 22692, 21600, 16732, 13142, 11476, 8479, 5377, 3587, 2578, 1382, 1770, 3053, 4742, 7161, 9740, 11455, 12569, 15015, 16679, 17030, 16418, 15320, 12784, 10539, 10018, 11493, 9963, 19798, 21300, 14464, 5046, 7571, 8442, 9793, 9484, 9269]","[-4897, -11412, -7483, 2059, 221, 491, 3570, 5247, 7028, 6215, 6549, 6248, 7588, 9490, 7290, 5378, 4642, 3179, 894, -963, -912, -202, -653, -1467, -1636, -1317, -1068, -568, -247, 1564, -7522, -23121, -4416, 6447, -8201, -12889, -3501, 1889, -775, -460]","[-2331, -1600, -2167, -729, -1628, -2321, -1490, 899, -280, 416, -278, -129, -387, -1364, -1229, -1425, -1403, -1158, -1306, -1055, -1557, -1160, -1639, -1979, -2322, -2841, -2215, -1327, -2787, -393, -13456, -17270, -11373, 3293, 2026, -2451, -4030, -1935, -921, -1459]","[-431, 3518, 15765, 9156, 793, -2777, -1690, 502, 1678, 3128, 6291, 8152, 7685, 3790, -890, -2369, -3941, -6580, -8506, -8264, -5081, -7272, -8035, -7067, -5913, -3174, -1399, -1968, -2766, -2983, -18072, -19754, 13785, -8668, -11634, -1903, 2698, -1427, -3020, 223]","[-4178, -4495, -296, 2129, -1004, 87, 895, -13, -787, 244, 44, -668, 16, -322, -1315, -2252, -2922, -3289, -2805, -2196, -2411, -2551, -2005, -1397, -1049, -709, -597, -1051, -1954, -1397, -5201, -1003, -2816, 2034, -459, -1007, -848, -918, -835, -750]","[32767, 32767, 32767, 24134, 14951, 14262, 13552, 11706, 9145, 6515, 3477, 600, -1723, -3614, -5741, -7733, -9386, -10759, -12343, -14338, -16033, -17820, -19161, -19927, -19997, -19499, -17887, -13652, -8022, -1840, 3427, 13109, 8385, 10373, 5726, 1939, -76, -996, -890, -928]"
"[32767, 32767, 32767, 17427, 19830, 14180, 10782, 10740, 7874, 4566, 870, 420, 552, 264, 2404, 4211, 6049, 8865, 10428, 11235, 14077, 15065, 15820, 16284, 15940, 14853, 12772, 10372, 11271, 9610, 17634, 32767, 5133, -5434, 11051, 12343, 6885, 8630, 9119, 8238]","[-7605, -19161, -5531, 4722, 374, 4368, 4119, 4744, 4540, 2995, 3033, 3032, 9504, 9360, 5564, 3216, 2018, 789, 19, 630, -489, -1636, -542, 489, 1405, 1235, -1616, -414, 4396, -3699, -32768, -3481, 10037, -32768, -8454, 13346, 7187, -5968, -653, 4147]","[-2958, -374, -8651, -8423, -148, -2550, -34, 1700, 1028, 3453, 4685, -581, -850, -986, -486, 368, 197, -215, -404, -738, -1637, -1121, -1413, -2149, -2216, -3587, -4176, -793, -61, -13817, -12584, -30371, 6469, 3328, -9226, -4352, 827, -1335, -3095, -2519]","[63, 19628, 15320, -1344, -10815, -13209, -13764, -9226, -2354, 3720, 14021, 15940, 13701, 2426, -3918, -3153, -1107, -1543, -1830, -4566, -8238, -8264, -8061, -7731, -8006, -8507, -8187, -3167, 3275, -20856, -5204, 31888, -7467, -25492, 15740, 11023, -11885, -6596, 5237, 1654]","[-2549, -5150, 110, -3715, 690, -982, -838, -6065, -4347, -2198, -2947, -1495, 376, 1061, 88, -557, -1145, -1079, -1017, -2063, -1818, -1697, -1551, -1228, -1469, -1364, 1300, 1318, 1239, -6047, 354, 5872, 1999, -3650, -1192, -694, -710, -1062, -404, -487]","[32767, 32767, 32767, 10286, 7099, 11589, 9301, 4181, 2411, 1094, -350, -37, 437, 292, -1079, -3421, -5854, -8115, -10806, -13631, -16764, -19368, -21168, -22093, -22049, -20935, -18940, -14855, -8386, -2063, 10044, 15368, 14731, -1600, -4160, 1007, -1520, -594, 152, 105]"
"[32767, 32767, 25583, 7887, 14618, 11454, 8270, 5661, 2004, -8462, -5675, 1402, 3248, 3369, 6326, 7570, 6223, 6697, 8657, 8940, 9290, 11752, 12982, 12900, 13706, 15507, 16080, 14300, 14457, 15453, 14054, 14914, 15022, 11791, 10227, 10775, 10294, 9579, 10397, 10155]","[-12127, -7699, 10501, 8411, -13856, -926, 3149, 5693, 5117, 4534, 6911, 9174, 8072, 2302, -4242, -3045, 2005, 4361, 2278, 204, 225, 1030, 1431, 1763, 775, 742, -444, -2692, -1893, 149, -1263, -4903, -6942, -4659, -5602, -6419, -6250, -7063, -5256, -1864]","[-1374, -7161, 10865, -8825, -499, 1682, 4896, -1313, -1211, -801, -2210, -2328, -1006, 500, 2927, 2929, 1863, 2445, 1665, 1897, 1120, 785, 1004, 425, -1369, -1489, -1726, -2033, -2630, -3751, -4575, -5443, -3964, -2526, -5856, -3606, -3245, -2683, -1642, -2274]","[-7084, 32767, 32767, -14864, -11528, -12124, 3921, 14296, 15688, 17676, 12733, -4201, -14133, -16450, -7129, 4215, 6566, 684, -3796, -5245, -3606, -2908, -4978, -5293, -5021, -7284, -10186, -7771, -4790, -7397, -11240, -10903, -9856, -10529, -12384, -18025, -17674, -14871, -12026, -8328]","[-4474, -2316, 6867, 6975, 2789, 940, 3091, -2570, -1449, 3053, 745, 45, -216, -2651, -4463, -4767, -4837, -5869, -5927, -6259, -7025, -7556, -7316, -7398, -7731, -7795, -7034, -6811, -6979, -7077, -7281, -6593, -5085, -5850, -6385, -5230, -3824, -3094, -2895, -2216]","[32767, 32767, 32767, 8753, 995, 2706, -2559, -7754, -7118, -1120, 5538, 7566, 5882, 3418, -1404, -5346, -8546, -10169, -11095, -12202, -12809, -12889, -12715, -12265, -11603, -10974, -11245, -11203, -10017, -8812, -7542, -5341, -4235, -2814, 437, 3874, 5806, 7445, 7712, 5372]"
